previous utterance by the teller	drawer's utterance	next utterance by the teller	is CR?	impossible to know?
he is in line with bottom of fire to left of duck . jen is indian style facing left tennis racquet in left hand petting cat with right	you sure he is medium , where is he compared to skyline	tennis racquet is in right hand sorry . hands are just above skyline for mike	1	
yes	what you have	a big apple tree in the middle of the scene	0	
	are they suppose to be holding hands kinda ?		0	
shocked , girl is on the left facing right ad shovel on the right , then snake far right mid level	so the girl is far left then the sandbox ? the girl is facing right ?	inside the box , facing right	1	
---	ok is that it ?	---	0	
yes . the tip of the tail is on our right , cut off at the right edge of the picture . the tip of the kite almost touching the top of picture .	so anything else	the sun and balloon are bigger and the kite is smaller .	0	
not bottom of right side of the trunk	ok you 'll check it later	middle of the left grass one boy sitting looking right side smiling face boy one leg is touch duck back part	0	
any questions	nope . i think i got it all	i will check your picture , okay ?	0	
straight in front of him , there is also a dog	are the boy and girl facing left or right ?	right	1	
	is mike in the right position ?		0	
yes she has a dog touching her left hand	they are not facing each other ?	looking to the right of screen , boy has a frisbee in left hand	1	
boy sitting , legs folded , surprised , looking right , black sunglasses , sitting on left , arm covers leg	where is this boy ?	on left , 1 '' from left , 2 '' from bottom , hair barely above horizon	1	
---	ok . can you check ?	---	0	
---	ok i got that	---	0	
ok medium sun upper left , then balloons then kite	are the balloons and kite in the left too	kite is center to a little to the right	1	
turn picnic table around nake helicopter smaller and move rain cloud to the right more and the ball to right more and we are golden	ok done ! thanks !		0	
make tree bigger	put it medium size now . is it ok ?	make picnic table bigger and in the center	0	
hello	hello and ready ! !	yes	0	
---	got it ! thank you !	---	0	
ok , i will check now	is everything right ?	move the cat and girl a little more to the right and it 's good	0	
yes	is the left side of the girl 's leg , on your left , touching part of the table ?	edge	0	
there a set of balloons to your right three bottoms one showing	not clear	the bottom three balloons are showing on the blue edge i saw that lol	0	
there is a person on the right . a boy with a pizza .	sitting or standing , facing right or left , what kind of face ?	facing right . he is smiling . he is standing .	1	
left . there 's a cat on the right side of the sandbox facing right . there 's a football just to the left	to left of sandbox ? or cat ?	i 'm sorry , the boy is facing right . the cat is facing left . the football is to the left of the box	1	
ready	i 'm here ! where is the stuff ?	big bear far left	0	
the boy is standing to the left of the tree with blue shorts , shirt , and shoes , a yellow frisbee in one hand	facing which way ? which hand is the frisbee ?	the top is slightly cut off of the cloud as well as a small part of the right side . the grass line is on the leaf part	1	
girl , medium side , facing left . she 's left of the tree , eyes at horizon .	doing what ?	in front of girl 's hands , left of girl is a frisbee . girl is standing arms out .	1	
a medium slide slightly to the left of middle facing right	slide is just below the cloud ?	slide a little more in center . to the left of the slide even with the ladder is a happy girl facing left one arm up one down	1	
---	look	---	0	
not yet	sorry , did n't mean that	place a small tent on the left side of page . tent faces right	0	
bushy small tree hole facing left in middle of grass 3 inches down from top	size ? is it in front of or behind apple tree ?	the whole tree for both are showing both med size	1	
girl is directly below the cloud , arms in the air , happy face	frisbee location and size ?	frisbee is medium , midpoint in sky , just below cloud sun level , between boy and girl	0	
it 's facing left	go on , tell me more	straight under the helicopter is a small boy head even with the green blue cap on	0	
it looks perfect ! ! ! ! ! ! ! ! well done ! !	to you ! ! ! ! !	thank you . :	0	
a bear is on the right . a girl and boy are in a small sandbox . the girl is smiling the boy is surprised	let 's start with the bear any part of him on horizon line ? what size is he ? facing right or left ?	large facing right . he 's close to the bottom . the girl is on the left the boy is on the right . they are small and so is the sandbox	1	
facing left also	does jenny go over tree ?	big snake looks at them directly under cloud and sun	0	
girl has blue baseball cap , and the boy has a cap with two horns	alright . that it ?	make the girl in small size and snake is also small in size	0	
boy is jumping with both hands in the air with a sad face . his feet is touching the front left leg of the table .	ok . are kids large ?	he 's facing left . kids are large . ready for me to check ?	1	
ok , make kids medium . and move them bottom right corner . and we done . bear also medium . sandbox small hide more of the sandbox	are they large size then ? you 'll have to check it		1	
ok ready	ok what do you see in detail please	bushy tree on right hole facing left	0	
there 's an owl in the tree . the boy is right next to tree facing it and fire is on the right then good	i ca n't get rid of the hotdog	the hot dog is in his hand	0	
the tree is behind the boy and he 's sitting in front of it . the dog is facing the left and he 's smiling looking at the bee	ok everything is set in place .		0	
	i 'm ready . what do we have	large pine tree . top 1 4 is out of the picture at the top , tree is to the left	0	
med balloon right side sky showing on top and right side of it .	showing or cut	showing . sky on top and the right side of it . just a cm from right side .	1	
it 's a picnic scene .	who is in it ?	boy on left , picnic table in middle , girl on the right .	0	
under the rain cloud just a little to the right is angry cross legged boy facing right	let me know size of cloud and boy and got it .	he is large size and has large size hat , the top of the hat touches the horizon	1	
girl sitting on the left white blue pointy hat , holding a drink left hand	girl is directly under helicopter ?	heli facing right , guy across the girl sitting with viking hat	1	
girl is also shocked , running to the left towards boy about an inch away .	are they large size ?	yes , the boy is on the slide , near the bottom as if he slid down . behind the girl , is the bee spring toy facing left , tail at edge . all lrg	1	
upper left hand corner , large cloud , furthest left puff a little cut off . top almost touching top of screen	okay i got it go ahead with the next	below the cloud , large boy facing right , top of head on horizon line . smile , teeth , one arm in air .	0	
in front of the tree overlapping is a a girl with arms out standing with mouth open	what else and what direction is she facing	she is facing to your right hand there a football about 1 2 inch from her face	1	
the dog is wearing a viking helmet .	it wo n't let me put helmet on the dog	ok let me check	0	
there is cloud with light on my right , sand box in middle , med . plane on left 3 inch away .	which way is the plane facing	to left .	1	
the tree is large , the man is medium , the owl is small , the clouds are small , and the grass and sky are split right at the middle	can you use the chance and tell me what changes need done ?		0	
indeed :	have a wonderful night , thanks again !		0	
---	what is in the image ?	---	0	
the bear is facing right and has a colorful helicopter hat on . in his left hand is a red thing maybe a drink ? i ca n't tell	ok , what else is in the scene ?	boy on right side of the screen facing left . he is angry and looks like he is running . he is right near the bottom and an inch from right	0	
sitting in the left side of the sandbox	nevermind , got it thanks . next	large bucket covers boys feet	0	
---	ok !	---	0	
hi , small size tree on the left side , a bit cut	apple or pine	pine tree	1	
get the duck ?	i did		0	
---	what is the position of boy	---	0	
big boy down so top of right ear is touching horizon	he is touching horizon with ear	the top of his eyes are at the horizon ?	1	
a big bear on the right with baseball hat on and shades	is the bear touching side of screen ?	a boy sitting in middle mid size holding hot dog in right hand owl on head facing left	1	
to the right of the table , there is a girl with blonde hair and blue eyes , wearing a pink dress extending her arms to the left	they are all the same , don`t say that , tell me if she is happy or sad , facing left or right , medium large small size . arms up or down ,	facing left and is happy with her arms up and to the left like she is picking something up from the table	1	
---		---	0	
---	okay great	---	0	
on the very right side of the image is a happy girl holding a coke .	with one arm up , facing center ?	a little bit in front of her is a sandbox . in the middle is balloons and a cat is sitting there facing the girl .	1	
under cloud boy surprised looking left right hand in air and below the other hand girl angry sitting legs out facing left	are all objects included ?	yes make bear bigger and we 're good thanks	0	
medium rocket on the right . small airplane on the left .	directions ?	small sun on the right with only 1 4 of its part , 6 to 9 o'clock visible .	1	
on the slide is a happy boy	i have two happy boys to choose from , what is boy doing ?	the girl have a balloon in right hand	1	
pointing left	okay i have that	girl is sitting on left swing	0	
---	what is her facial expression ?	---	0	
two kids	where is the boy , is he sitting or standing ?	grassy area with an apple tree and a bonfire and a storm cloud . both standing	1	
---	what do i draw ?	---	0	
on the right facing left is a happy boy holding a drink , kicking a soccer ball towards a bear holding a hot dog	hahahahaha ok	one more thing , there is a sun above the boy .	0	
middle of body is in the blue	facing what direction ?	left	1	
---	ok will do	---	0	
yes , then there is a girl a tiny bit down and to the right in a sitting cross legged position sad face one arm up , she overs some of him	are the boy and girl looking left or right ?	they are both looking towards the right , they are both small as well	1	
---	what size is mike ?	---	0	
move the boy closer to the slide , there is a cat at the girl 's left leg	okay done ! that 's it right ?	that is it	0	
the girl is facing left with her leg out . she 's on the right	are there any other objects in the image ?	there is a helicopter in upper left , tail not shown . there is a dog with sunglasses in front of the girl	0	
---	thank you , have a great day	---	0	
a little girl running with happy face on the left	ok what level	on the left half of her foot is cut off , facing to the right and her mouth is level with the top of the grass	1	
---	okay , fixed it . anything else ?	---	0	
below tree trunk is a pie , slight to right	is pie really small , go	to the right of the tree trunk is a picnic table , corner of table touching bottom of tree , yes pie is small	1	
the girl is smiling and wearing a witches hat and there is a small helicopter in the air above her .	which direction are the hats , helicopter , and hole in the tree facing ?	the tip of the witches hat is pointing to the right and the hole in the tree is on the right . the helicopter is facing left .	0	
	what is the first image and location ?	sliding board on left with snake on top	0	
on	where is it related to the boy and where is the bat	lined up bat glove right in front of boy and ball all on the ground	0	
surprised boy standing between girl and tree with arms up facing left . he is wearing a blue hat	is the girl on my right or left ?	on your left	0	
alright a slide , facing right , 2 inch from bottom , 0 . 1 inch from left	what size is the slide	a cloud 0 . 2 inches from top	1	
---	ok thanks , got that	---	0	
boy facing right on left side smiling , facing girl . racket in hand . shoulders above horizon .	how are his hands positioned ?	one on hip , one holding racket in the air .	1	
large helicopter on right facing left , close to top , 1 , inch from right edge , med bee on right facing left , very close to the right edge	i do n't see a mad bee . he 's smiling	big smiling mike on left facing right with star hat facing left , standing with left hand up holding med shovel	0	
one girl is white with blonde hair pigtails and a pink jumper .	fluffy or pine tree	she is sitting cross legged with her right arm up and left down .	0	
	switched the tree		0	
	hello i 'm ready when you are	a large sun is in the upper left corner , the top and left sides cut off .	0	
yes	med ?	there is a shocked boy sitting at the end of the slide facing left with a pirate hat on	0	
a medium happy boy is on front the left side of table . hands almost touch the corner .	left side of the table ? is the boy next to the girl ?	yes , the boy is behind the girl	1	
tree just a bit large but otherwise good	large or medium ?		1	
the girl is swinging on it with her feet extended and arms to the side . sadly	i put them medium size , done	there is a cat in front of the front left leg of the swing set , facing left . girl and cat are looking at each other in the eyes	0	
all the way to the left bottom , blue witchcraft hat for suck	what else do you see other than the duck with a hat , boy with glasses and the sun ?	girl sitting on middle right , surprised face	0	
yes	is there anything else ? can you please check me ?	just girl in pink with arms out brown dog with ball next to her then swings next to the dog covered by a tree	0	
they 're also further apart and the ball is lower . the mitt should be flipped around , slightly angled toward her head	okay , fixed those things .	that 's it , nice working with you	0	
there is a medium size pine tree on the right side .	medium sized is bigger than the picture ? is that correct or small fits perfectly	this is medium size i believe . the top is out of picture and a little of the bottom right is out . it is 2 3 inches from bottom .	1	
top left corner is a large sun one third off page . boy smiling running below .	which direction is the boy facing and is it just him ?	boy is looking right . dog is standing looking right below him at bottom of page .	1	
a boy to the left of the barbecue with sad face facing right side and he is one inch above the bottom edge	one hand up or both to the side	both hands to the right side , that 's it , can i check now	1	
---	ok got him	---	0	
a smaller lightning bolt cloud is at the top middle . a helicopter is to the far right and facing right .	hello , let 's start got it	the boy is on the left side about 1 '' from the edge . he cheers with arms in air .	0	
the girl is under the right side of the cloud , her right arm over the tree	great , which tree	pine	1	
about one inch away from pizza is a boy sitting , hands out , smiling , facing pizza . his mouth lines up with the pizza	is he on top of the table or sitting behind it ?	oh he is on the right side of the screen . i am sorry ! the girl is also facing right with the pizza .	1	
large size , girl , facing boy , eyes at horizon . small picnic table behind her , left bottom corner almost touches her back , medium dog .	dog is facing right or left ?	dog facing left below table ears touch front right legs of table , and that 's it . check ?	1	
---	ok ?	---	0	
move the girl up a bit . her armpits should be at horizon . move yellow thing in front of ladder . move boy pinky away from edge	so the balloons are cut off at the top ?	the slight top of the balloons are cut off , maybe like a 10th of the balloon	0	
bbq center stage , girl under cloud , cross legs one arm up holding ketchup	i put the angry girl sitting cross legged under the cloud . i have her facing the boy and holding ketchup in her raised hand .	you do n't have to write what you doing , just put ok unless question	0	
the trees are large , hole is facing left , there is a small duck behind bushy tree	where is the trunks to the horizon . is the right pine tree cut off ? are the tops cut off ?	the trunks start in the middle of the grass . the sad boy facing right is in the lower right corner , his leg is off the grass below the scene	1	
on the left of the boy , left side , is a sandbox , left corner a bit cut from the scene , looks medium size .	mound in the box on the right side ?	on the left side , mount of sand . over the mount of sand is a frisbee , looks small size	0	
i think the toy is just one size smaller too . that 's it , thanks !	ok got it anything els		0	
sun top right corner medium only a quarter of it is showing	where is the girl and does she have a surprising face	girl is middle right	0	
---	ok all set	---	0	
her kicking foot is about on par with his thigh . and he is wearing the pirate hat . aperch his left hand is the owl .	ok make sure the sizes are correct	not done yet . the bee ride toy is on the bottom right , resting on the bottom of the picture . it is large size , i think .	0	
great , good job !	one more question girls arms are up in air straight , right ?	yes , like the boy 's arms	0	
right top big cloud touching the top edge and near the sun thundercloud a little below the plain cloud	where is the sun at ?	directly where the yellow thundercloud light is down is a duck medium sized facing right	1	
	i think we did a good job		0	
just put a hat on the boy and you are good	is it a blue hat ?	yes	1	
	hello ! can you tell me what is in the image ?	apple tree and boy sitting in front of it on left with cat . girl with balloons on right . l	0	
	is there a cloud in sky	a big swig sits at the left	0	
yes . there 's a small helicopter in the upper left corner	i 'll make it small but the small one is really small . which way is it facing . it 's good to just say direction too .	it 's facing to the right . towards the tree .	0	
she has a shocked look	if that 's all , you can take a peek	there is a round apple tree behind her	0	
no , the slide is not blocking the cloud	which rung of the slide is touching the blue ? count from bottom up .	nothing is on the table . the table is about a third of about a third of the width of the picture , but only half of it is showing .	1	
hair a bit over horizon . she is kicking a football . on the left side medium boy kicking smile facing right	is she medium too ?	he has red cup in left hand . very small kite string in right hand . kite tail touching the apple tree . girl big	1	
large bear with arms up 1 inch to the right of soccer ball wearing a pirate hat . facing left . boy and girl facing right	boy is facing right ? 7	yes . medium tree behind bear . hole facing left . top and side cut off . trunk bottom in middle of grass	1	
pine probably medium	facing left helicopter ?	facing right . to the left of tree is yellow picnic table and cat near back left leg	1	
left	his left hand ? which way does the straw point ?	right	0	
	scene ?	from left to right , boy looking left running with pizza then girl running , dog next to her , then pine tree small , sun behind pine	0	
standing , happy	what 's the girl up to ?	she 's on some kind of animal looking playground equipment	0	
on the right side of the scene is a boy happy face , small size	is he running and what way is he facing ?	he is facing left , not running , looks like catching something	1	
large mike happy with one arm up facing left at right side , elbow at horizon . large owl on his left shoulder	cloud right in front of the rain cloud ? directly on top of it ?	large jenny to the left of mike , facing right , running with scared look , same level as mike	0	
need to see only pine tree branches top to bottom on left snake is trying to drink out of the cup	j		0	
it 's too big for the pic . only half of it shows . in the center is a blonde girl in pink dress reaching out	is she standing or kneeling ? reaching out with one or both hands ?	the girl is standing . reaching with both hands	1	
big bee is looking center , and boys front foot would be in obscene place if he moved it forward just a bit . that is it .	ok but it is the right boy	yes . glove is in front of her hand . tree is smaller . boy needs to move to behind his sunglasses . girl is holding ball .	0	
below is girl , smiling with teeth , standing with arms reaching out to the right with beach ball just covering her one hand	ok and ses under the sun ?	she is . then there 's a boy reaching left , one hand hidden by beach ball , smiling with teeth , spin cap on head	1	
left side a big bushy tree . only top cut . so it`s almost middle scene	hole facing left or right	right . on the tree . on the green part of the tree is sitting a boy yoga style , facing right . left hand glove .	1	
mike is large .	okay , got it . anything else ?	please , hide a little more balloon , and move dog to the left of mike . thanks .	0	
top right is large sun left cut off a little	i added the sun to the top right with the right side cut off a little .	in center of grass is large sandbox , mound on right side	0	
yes . great job	is the boy 's hand in front of the tree ?		0	
standing	is the girl large or medium or small	near girl a yellow bean	0	
jenny is standing up next to him and she has a scared look on her face as she faces left toward him while pointing to the cloud	did you take a chance peek ?	no , i did n't . i 'll look now	0	
her shoulders is above entrance from right side . ponytail almost touches left of entrance .	is tent above sky a little	small rocket shooting left is in the middle of the sky with a medium fire under it in the lower part of the grass .	0	
	is there anything else that should be in the picture ?		0	
right foot . tree is larger . leaves start a bit above horizon . mike 's head is 1mm below the horizon	i made the updates	ok and then his elbow is a bit overlapped by the trunk 's bottom edge .	0	
blue eyes and mouth shape of moon	is he sitting standing . what face does the girl have . which way is the swing . you have to be a specific as possible	guy has his legs crossed sitting down , has his arms out	1	
	hello , ready .	there is a tree in the left side	0	
there is a pie on the picnic table . red filling is seen through 5 slits on the crust .	are the boy or girl wearing anything extra like hats or sunglasses ?	no , the boy is wearing blue t shirt and shorts . girl is wearing a pink dress , but bottom looks like shorts .	0	
---	ok great	---	0	
there is a yellow picnic table in the middle of the grass	is it large enough so two side by side would fill the page , and is the right side higher ?	yes	1	
---	smiling or frowning ?	---	0	
behind the girl is a boy , hands out , facing left , sad face , the girl covers the boy .	okay . which way is owl facing	right	0	
wow almost perfect ! boy and tree a little more left but great ty !	k i moved them over	done 1	0	
---	are there people in the picture ?	---	0	
large tent on left below middle of grass	opening facing right or left ?	by from right corner of tent running boy facing right , tent is facing right	1	
---	is	---	0	
next to tree boy smiling standing legs stretched out facing right wearing blue cap . cap touching tree slightly and holding pizza both hands	is his arms up in the air ?	no stretched out to the front and he is facing right	1	
	teller did not check		0	
top left corner is above horizon , a little opening is visible , large fire in front of the tent , 1 1 2 inch from the right edge ,	oknso its covering the bolt a little ? i hate when they are silly like this . lol	fire is touching the middle of the left side tent ,	1	
his feet are in the middle between the top and bottom of the grass .	okay , moved him .	move the cat so that the other ear is touching the other side of that log and you are all good .	0	
the size is good . just bump trunk down a little lower	and the girl is at the center of the scene with her eyes on the horizon line	okay . make them both one size bigger and flip the boy so he is facing the girl	0	
it 's just a little bigger than the bear	okay . where is the base of the tree start ?	just above the boy 's foot	0	
boys ankle touch the very bottom right of the round tree	ok i got it i think .	right ankle . the girls head touch the round part of bottom left of the roundtree	0	
on the right side is a picnic table , medium size , corner touch the horizon , boy facing right	boys facial expression ?	a bit down from the table is a girl , one hand up , happy face boy and girl . right side is the girl	1	
yes and yes . also to the right of the boy is a frisbee , a tennis ball , and sunglasses .	is he holding the duck ?	the duck is in his lap .	1	
---	got it next ?	---	0	
---	any part cut off ?	---	0	
the last thing is the clouds they should be a little more towards the center .	is the lowest raindrop lined up with the girl 's eye on your left .	the his is complete you can submit it now .	1	
yeah but if i do n't t mention it that means normal size , ok good job	normal size for me is medium . sorry . thank you	dude face right , i said that though ,	0	
girl medium to right of boy head below horizon arms up jumping big smile wearing red grey hat red cup as if both boy girl holding	so boy medium too ?	yes can ii check	1	
there is a cat sitting at top faced right with hot dog at its feet , then i can check	ok , not sure how i did . take a look and let me know .	the cat is at top of slide .	0	
	i have a blue sky and green field , what else do i need ?	sun upper right corner with cloud in front of lower half of sun	0	
there is a sandbox close to the bottom on the left with the boy sitting in it with a shovel and bucket on the right of him , he has on a hat	which hat ,	he 's smiling and wearing a hat , there is a thunder cloud with a lightning streak in the middle of the sky	1	
surprised large girl has shoulders at horizon , looking left , her furthest out hand is almost touching right most table corner .	right top or right bottom ?	top corner . large pizza is on back three planks of table and is a bit right of center .	1	
	hey .	a big sun is on the center left , three triangles are hidden .	0	
---	okay , next up	---	0	
there 's meat on the grill	ok that 's done	that 's some kind of toy children ride on in the park that look like a bird	0	
then right side boy angry cross leg looking left hands out very near the edge	are their hands almost touching ?	no they 're further apart	1	
	hi . what is the image ?	a large mike is sitting on the right side in a corner next to the yellow picnic table	0	
	hi , what 's the scene ?	left side medium plane facing left face cut off and below it big girl standing on the grass nothing above horizon arms to the right	0	
medium cloud left sky . right facing plane right side sky	great , both medium size ?	all items are medium . beach ball above horizon to left of planes tail	1	
happy girl has high hand above horizon	one hand down and she is on the right side ?	yes her head is getting close to hitting tree . r	1	
only one bear it is medium size behind the tent ok	does the tent cover the bear at all ?	bear hand touch the cloud light	1	
boy surprised face , one arm out to the right , elbow even with horizon	what side	left side of sandbox	1	
oh yeah , put a baseball between kids , and make tree one size large , move tree to the bottom of the screen	ok , did that !	done	0	
---	small or big ?	---	0	
---	is that all	---	0	
---	how many people are there ?	---	0	
dude runs angry hides trunk	left or right cing	facing right , then on grass , a baseball mitt the burger , the girl hands up sad facing left	1	
i 'm going to check and let you know if anything needs fixing	okay ty	wow , you did an awesome job . flip the balloons for me so the blue is on the left , and bring the girl down a tiny bit	0	
	mike is wearing a blue cap with a star on it a		0	
there is a boy underneath the rain cloud , sitting on a swing set and smiling to the right . they are big clouds .	what is the size of the swing and boy ?	top of the swings is to the right . dog looks left at the bottom right , tail off scene . in front of him is a girl smiling and running left .	1	
there is a med table in the middle of the green a large sun in the left corner	is the table in between mike and jenny ? does the sun touch the top of the picture and almost touch the green ?	the table is behind them , there is a cloud over the sun	1	
there is a large girl on the right . she is facing left . her legs are near the bottom and her right arm near the right of the screen	ok what is her expression ?	happy . she has one hand in front and one in back .	1	
both in tree , sitting facing each other , him on left , her on right	holding hands ?	not quite , position her so the hand behind her back is not in tree . that hand is holding a large frisbee	1	
i`ll check now to see	so ?	put the boy in the far left and a size bigger . girl a size bigger and it`s done , thank you	0	
all small	ok slide and girls are facing right ?	yes right , snake far left bottom corner smallest , facing right	0	
a boy with a kick pose in front of tree facing right , a girl with a kick in front also facing right , yes with hole	are the boy and girl right next to each other ?	a ball in the middle on top of the horizon	1	
no , there is nothing on ground . just grass .	take a peek at what i drew .	i just looked a second ago . looks like what i 'm seeing !	0	
surprised , like with his mouth open	is he facing toward the right or the left ?	the left . there is also a helicopter in the air to the left side	1	
to the left of the tree in between the girl and tree is a small snake facing left	wow , anything else ?	in the top left corner is a medium lightning cloud to striking to the right it is striking a small helicopter	0	
further right feet at bottom edge large boy facing right surprised right hand on hip left holding hot dog left side high .	is he facing right , out of scene , or left , towards the grill	read the statement above his head is just below horizon line and hot dog edge is 1 2 inch from right edge	1	
girl , medium , standing , smiling , purple glasses . just a little behind the bottom of the frame . near the right side .	are her hands up or in front of her ? do her teeth show ?	girl faces left , hands out in front of her . hamburger in her right hand .	1	
the ball is to the right of the center of the picture , one or two cm above grass line . the sun is cut off at the top .	is the basket ball large ? what position is the sun ?	the ball is about the size of the girl 's head and she 's large . the sun is almost half an inch from the right edge . the top of it is cut off .	1	
thanks . bye .	great job thanks .		0	
she has black sunglasses on , and has a rugby ball on her left hand . she 's on the left side of the picture , her hand is touching the frame .	which side is she ?	left side .	1	
nope , that 's it . dog , bear with burger , grill , ball , boy , girl .	awesome ! why do n't you use your cheat and tell me if there 's anything that needs to be corrected .	yeah , that 's pretty closer . the bear needs to go to the left a bit so the dog 's head is in front of his paw .	0	
there 's a dog just below the boy . there 's a picnic table to the right of the boy .	what way is dog facing ?	the dog is facing right . there 's a mad girl sitting on the right facing left . everything is large .	1	
she is looking right . boy is standing looking left about 1 inch from bottom center . wearing sunglasses .	both hands out , or just 1 ?	he is holding a drink in raised left hand . right hand behind back holding kite .	1	
girl , boy , fire , all big , fire and dog in the middle of the picture . boys legs are straight not crossed	ok . so the boy overlaps the other tree then ?	and other tree on the right should be 1 2 inch from the right of the image border . no overlapping	1	
he has red cup in left hand . very small kite string in right hand . kite tail touching the apple tree . girl big	my girl and tree are off you 'll have to tell me when you check	ok , girl is big size . the cup and kite are in boys hands	0	
good put both ball side by side on mike left foot one inch away	you are very slow . this is taking way too long .	thanks that it	0	
1 4 inch from bottom with a with hat on it , 1 inch from soccer ball to the right middle of screen	what hat ? pirate viking witch ?	a helicopter touching top , facing right , medium , 1 2 inch from left , a happy mike facing left , medium , standing u	1	
the girl is to the left of him below his arm . her leg is out . mouth open . she is kicking a beach ball	is the girl facing right ? any of the ball covering the boy ?	they are both facing left . the ball is going away from the boy	1	
---	got it . what 's next ?	---	0	
medium happy girl on lower left side facing right . braid touches left side . feet 1 inch from bottom . holding small soccer ball	is she standing or what ? and where are her hands ?	oops ! standing with arms out . small cat right of her feet . foot centered in tail	1	
